Instruction,Type,RV32,RV64,cp_asm_count,cp_rs1,cp_rd,cp_rs1_edges,cp_imm_edges,cp_fs1,cp_fs2,cp_fs3,cp_fd,cp_fs1_edges,cp_fs2_edges,cp_fs3_edges,cmp_fd_fs1,cmp_fd_fs2,cmp_fd_fs3,cp_frm,cp_csr_fflags,cp_csr_frm,cr_fs1_fs2_edges,cr_fs1_fs3_edges,cp_fclass,cp_NaNBox,cp_fs1_badNB,cp_fs2_badNB,cp_fs3_badNB,cp_ibm
fadd.d,FR,x,x,x,,,,,x,x,,x,D,D,,x,x,,3,von,x,frm_D,,,,,,,x
fclass.d,FIX,x,x,x,,x,,,x,,,,D,,,,,,,,,,,x,,,,,x
fcvt.d.l,X2F,,x,x,x,,x,,,,,x,,,,,,,2,n,x,,,,,,,,x
fcvt.d.lu,X2F,,x,x,x,,x,,,,,x,,,,,,,2,n,x,,,,,,,,x
fcvt.d.s,FI,x,x,x,,,,,x,,,x,x,,,x,,,,v,,,,,,D_S,,,x
fcvt.d.w,X2F,x,x,x,x,,x,,,,,x,,,,,,,,,,,,,,,,,x
fcvt.d.wu,X2F,x,x,x,x,,x,,,,,x,,,,,,,,,,,,,,,,,x
fcvt.l.d,F2X,,x,x,,x,,,x,,,,frm_D,,,,,,2,vn,x,,,,,,,,x
fcvt.lu.d,F2X,,x,x,,x,,,x,,,,frm_D,,,,,,2,vn,x,,,,,,,,x
fcvt.s.d,FI,x,x,x,,,,,x,,,x,frm_D,,,x,,,2,voun,x,,,,D_S,,,,x
fcvt.w.d,F2X,x,x,x,,x,,,x,,,,frm_D,,,,,,2,vn,x,,,,,,,,x
fcvt.wu.d,F2X,x,x,x,,x,,,x,,,,frm_D,,,,,,2,vn,x,,,,,,,,x
fdiv.d,FR,x,x,x,,,,,x,x,,x,D,D,,x,x,,3,vdoun,x,frm_D,,,,,,,x
feq.d,FC,x,x,x,,x,,,x,x,,,D,D,,,,,,v,,D,,,,,,,x
fld,FL,x,x,x,nx0,,,x,,,,x,,,,,,,,,,,,,,,,,
fle.d,FC,x,x,x,,x,,,x,x,,,D,D,,,,,,v,,D,,,,,,,x
flt.d,FC,x,x,x,,x,,,x,x,,,D,D,,,,,,v,,D,,,,,,,x
fmadd.d,FR4,x,x,x,,,,,x,x,x,x,D,D,D,x,x,x,4,voun,x,frm4_D,frm4_D,,,,,,x
fmax.d,FR,x,x,x,,,,,x,x,,x,D,D,,x,x,,,v,,D,,,,,,,x
fmin.d,FR,x,x,x,,,,,x,x,,x,D,D,,x,x,,,v,,D,,,,,,,x
fmsub.d,FR4,x,x,x,,,,,x,x,x,x,D,D,D,x,x,x,4,voun,x,frm4_D,frm4_D,,,,,,x
fmul.d,FR,x,x,x,,,,,x,x,,x,D,D,,x,x,,3,voun,x,frm_D,,,,,,,x
