Instruction,Type,RV32,RV64,cp_asm_count,cp_rs1,cp_rs2,cp_rd,cp_rs1_edges,cp_rs2_edges,cr_rs1_imm_edges,cr_rs1_rs2_edges,cmp_rs1_rs2,cmp_rd_rs1,cmp_rd_rs2,cmp_rd_rs1_rs2,cp_gpr_hazard,cp_offset,cp_uimm,cp_imm_edges,cp_align,cp_memval,cp_custom
add,R,x,x,x,x,x,x,x,x,,x,x,x,x,x,rw,,,,,,
addi,I,x,x,x,x,,x,x,,x,,,x,,,rw,,,x,,,
addiw,I,,x,x,x,,x,x,,x,,,x,,,rw,,,x,,,
addw,R,,x,x,x,x,x,x,x,,x,x,x,x,x,rw,,,,,,
and,R,x,x,x,x,x,x,x,x,,x,x,x,x,x,rw,,,,,,
andi,I,x,x,x,x,,x,x,,x,,,x,,,rw,,,x,,,
auipc,U,x,x,x,,,x,,,,,,,,,w,,,20bit,,,
beq,B,x,x,x,x,x,,x,x,,offset,x,,,,r,x,,branch,,,
bge,B,x,x,x,x,x,,x,x,,offset,x,,,,r,x,,branch,,,
bgeu,B,x,x,x,x,x,,x,x,,offset,x,,,,r,x,,branch,,,
blt,B,x,x,x,x,x,,x,x,,offset,x,,,,r,x,,branch,,,
bltu,B,x,x,x,x,x,,x,x,,offset,x,,,,r,x,,branch,,,
bne,B,x,x,x,x,x,,x,x,,offset,x,,,,r,x,,branch,,,
fence,F,x,x,x,,,,,,,,,,,,,,,,,,fence
jal,J,x,x,x,,,x,,,,,,,,,w,x,,jal,,,
jalr,JR,x,x,x,nx0,,x,,,,,,nx0,,,rw,jalr,,x,,,
lb,L,x,x,x,nx0,,x,,,,,,nx0,,,rw,,,x,byte,byte,
lbu,L,x,x,x,nx0,,x,,,,,,nx0,,,rw,,,x,byte,byte,
ld,L,,x,x,nx0,,x,,,,,,nx0,,,rw,,,x,,double,
lh,L,x,x,x,nx0,,x,,,,,,nx0,,,rw,,,x,hword,hword,
lhu,L,x,x,x,nx0,,x,,,,,,nx0,,,rw,,,x,hword,hword,
lui,U,x,x,x,,,x,,,,,,,,,w,,,20bit,,,
lw,L,x,x,x,nx0,,x,,,,,,nx0,,,rw,,,x,word,word,
lwu,L,,x,x,nx0,,x,,,,,,nx0,,,rw,,,x,word,word,
nop,I,x,x,x,,,,,,,,,,,,,,,,,,
or,R,x,x,x,x,x,x,x,x,,x,x,x,x,x,rw,,,,,,
ori,I,x,x,x,x,,x,x,,x,,,x,,,rw,,,x,,,
sb,S,x,x,x,nx0,x,,,x,,,,,,,r,,,x,byte,,
sd,S,,x,x,nx0,x,,,x,,,,,,,r,,,x,,,
sh,S,x,x,x,nx0,x,,,x,,,,,,,r,,,x,hword,,
sll,R,x,x,x,x,x,x,x,x,,x,x,x,x,x,rw,,,,,,
slli,IS,x,x,x,x,,x,x,,uimm,,,x,,,rw,,x,,,,
slliw,ISW,,x,x,x,,x,x,,uimmw,,,x,,,rw,,5,,,,
sllw,R,,x,x,x,x,x,x,x,,x,x,x,x,x,rw,,,,,,
slt,R,x,x,x,x,x,x,x,x,,x,x,x,x,x,rw,,,,,,
slti,I,x,x,x,x,,x,x,,x,,,x,,,rw,,,x,,,
sltiu,I,x,x,x,x,,x,x,,x,,,x,,,rw,,,x,,,
sltu,R,x,x,x,x,x,x,x,x,,x,x,x,x,x,rw,,,,,,
sra,R,x,x,x,x,x,x,x,x,,x,x,x,x,x,rw,,,,,,
srai,IS,x,x,x,x,,x,x,,uimm,,,x,,,rw,,x,,,,
sraiw,ISW,,x,x,x,,x,x,,uimmw,,,x,,,rw,,5,,,,
sraw,R,,x,x,x,x,x,x,x,,x,x,x,x,x,rw,,,,,,
srl,R,x,x,x,x,x,x,x,x,,x,x,x,x,x,rw,,,,,,
srli,IS,x,x,x,x,,x,x,,uimm,,,x,,,rw,,x,,,,
srliw,ISW,,x,x,x,,x,x,,uimmw,,,x,,,rw,,5,,,,
srlw,R,,x,x,x,x,x,x,x,,x,x,x,x,x,rw,,,,,,
sub,R,x,x,x,x,x,x,x,x,,x,x,x,x,x,rw,,,,,,
subw,R,,x,x,x,x,x,x,x,,x,x,x,x,x,rw,,,,,,
sw,S,x,x,x,nx0,x,,,x,,,,,,,r,,,x,word,,
xor,R,x,x,x,x,x,x,x,x,,x,x,x,x,x,rw,,,,,,
xori,I,x,x,x,x,,x,x,,x,,,x,,,rw,,,x,,,
