Instruction,Type,RV32,RV64,EFFEW8,EFFEW16,EFFEW32,EFFEW64,cp_asm_count,cp_vd,cp_rd,cp_vs2,cp_rs2,cp_vs1,cp_rs1,cp_imm_5bit,cp_vs3,cmp_vd_vs2,cmp_vd_vs1,cmp_vs1_vs2,cmp_vd_vs1_vs2,cp_vs2_edges,cp_vs1_edges,cr_vs2_vs1_edges,cr_vxrm_vs2_vs1_edges,cp_rs1_edges,cr_vs2_rs1_edges,cr_vxrm_vs2_rs1_edges,cr_vs2_imm_edges,cr_vxrm_vs2_imm_edges,cp_masking_edges,cr_vl_lmul,cr_vtype_agnostic,cp_vl_0,cp_custom
vadd.vv,VVVM,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,
vadd.vx,VVXM,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,,,,x,x,x,x,
vadd.vi,VVIM,x,x,x,x,x,x,x,x,,x,,,,x,,x,,,,x,,,,,,,x,,x,x,x,x,
vsub.vv,VVVM,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,
vsub.vx,VVXM,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,,,,x,x,x,x,
vrsub.vx,VVXM,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,,,,x,x,x,x,
vrsub.vi,VVIM,x,x,x,x,x,x,x,x,,x,,,,x,,x,,,,x,,,,,,,x,,x,x,x,x,
vzext.vf2,VVM,x,x,,x,x,x,x,x,,x,,,,,,,,,,emulf2,,,,,,,,,x,x,x,x,vext2
vzext.vf4,VVM,x,x,,,x,x,x,x,,x,,,,,,,,,,emulf4,,,,,,,,,x,x,x,x,vext4
vzext.vf8,VVM,x,x,,,,x,x,x,,x,,,,,,,,,,emulf8,,,,,,,,,x,x,x,x,vext8
vsext.vf2,VVM,x,x,,x,x,x,x,x,,x,,,,,,,,,,emulf2,,,,,,,,,x,x,x,x,vext2
vsext.vf4,VVM,x,x,,,x,x,x,x,,x,,,,,,,,,,emulf4,,,,,,,,,x,x,x,x,vext4
vsext.vf8,VVM,x,x,,,,x,x,x,,x,,,,,,,,,,emulf8,,,,,,,,,x,x,x,x,vext8
vadc.vvm,VVVM,x,x,x,x,x,x,x,nv0,,nv0,,nv0,,,,nv0,nv0,nv0,nv0,x,x,x,,,,,,,x,x,x,x,
vadc.vxm,VVXM,x,x,x,x,x,x,x,nv0,,nv0,,,x,,,nv0,,,,x,,,,x,x,,,,x,x,x,x,
vadc.vim,VVIM,x,x,x,x,x,x,x,nv0,,nv0,,,,x,,nv0,,,,x,,,,,,,x,,x,x,x,x,
vsbc.vvm,VVVM,x,x,x,x,x,x,x,nv0,,nv0,,nv0,,,,nv0,nv0,nv0,nv0,x,x,x,,,,,,,x,x,x,x,
vsbc.vxm,VVXM,x,x,x,x,x,x,x,nv0,,nv0,,,x,,,nv0,,,,x,,,,x,x,,,,x,x,x,x,
vand.vv,VVVM,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,
vand.vx,VVXM,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,,,,x,x,x,x,
vand.vi,VVIM,x,x,x,x,x,x,x,x,,x,,,,x,,x,,,,x,,,,,,,x,,x,x,x,x,
vor.vv,VVVM,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,
vor.vx,VVXM,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,,,,x,x,x,x,
vor.vi,VVIM,x,x,x,x,x,x,x,x,,x,,,,x,,x,,,,x,,,,,,,x,,x,x,x,x,
vxor.vv,VVVM,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,
vxor.vx,VVXM,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,,,,x,x,x,x,
vxor.vi,VVIM,x,x,x,x,x,x,x,x,,x,,,,x,,x,,,,x,,,,,,,x,,x,x,x,x,
vmin.vv,VVVM,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,
vmin.vx,VVXM,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,,,,x,x,x,x,
vminu.vv,VVVM,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,
vminu.vx,VVXM,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,,,,x,x,x,x,
vmax.vv,VVVM,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,
vmax.vx,VVXM,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,,,,x,x,x,x,
vmaxu.vv,VVVM,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,
vmaxu.vx,VVXM,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,,,,x,x,x,x,
