Instruction,Type,RV32,RV64,cp_asm_count,cp_rs1,cp_rs2,cp_rd,cp_rs1_edges,cp_rs2_edges,cr_rs1_imm_edges,cr_rs1_rs2_edges,cmp_rs1_rs2,cmp_rd_rs1,cp_offset,cp_uimm,cp_imm_edges,cp_imm_mul
c.add,CR,x,x,x,nx0,nx0,,x,x,,x,nx0,,,,,
c.addi,CI,x,x,x,nx0,,,x,,6bit_n0,,,,,,,
c.addi16sp,CI,x,x,x,,,,,,,,,,,,,addi16sp
c.addi4spn,CIW,x,x,x,,,p,,,,,,,,,,addi4spn
c.addiw,CI,,x,x,nx0,,,x,,6bit,,,,,,,
c.addw,CA,,x,x,p,p,,x,x,,x,c,,,,,
c.and,CA,x,x,x,p,p,,x,x,,x,c,,,,,
c.andi,CBP,x,x,x,p,,,x,,6bit,,,,,,,
c.beqz,CB,x,x,x,p,,,x,,,,,,x,,,
c.bnez,CB,x,x,x,p,,,x,,,,,,x,,,
c.j,CJ,x,x,x,,,,,,,,,,x,,c_jal,
c.jal,CJ,x,,x,,,,,,,,,,x,,c_jal,
c.jalr,CR,x,x,x,nx0,,,,,,,,,c_jr,,,
c.jr,CR,x,x,x,nx0,,,,,,,,,c_jr,,,
c.ld,CL,,x,x,p,,p,,,,,,c,,,,8
c.ldsp,CILS,,x,x,nx0,,,,,,,,,,,,8sp
c.li,CI,x,x,x,nx0,,,,,,,,,,,6bit,
c.lui,CI,x,x,x,nx2,,,,,,,,,,,6bit_n0,
c.lw,CL,x,x,x,p,,p,,,,,,c,,,,x
c.lwsp,CILS,x,x,x,,,nx0,,,,,,,,,,4sp
c.mv,CR,x,x,x,nx0,nx0,,,x,,,nx0,,,,,
c.nop,CN,x,x,x,,,,,,,,,,,,,
c.or,CA,x,x,x,p,p,,x,x,,x,c,,,,,
c.sd,CS,,x,x,p,p,,,x,,,,,,,,8
c.sdsp,CSS,,x,x,,x,,,x,,,,,,,,8sp
c.slli,CI,x,x,x,nx0,,,x,,c,,,,,n0,,
c.srai,CBP,x,x,x,p,,,x,,c,,,,,n0,,
c.srli,CBP,x,x,x,p,,,x,,c,,,,,n0,,
c.sub,CA,x,x,x,p,p,,x,x,,x,c,,,,,
c.subw,CA,,x,x,p,p,,x,x,,x,c,,,,,
c.sw,CS,x,x,x,p,p,,,x,,,,,,,,x
c.swsp,CSS,x,x,x,,x,,,x,,,,,,,,4sp
c.xor,CA,x,x,x,p,p,,x,x,,x,c,,,,,
