Instruction,Type,RV32,RV64,EFFEW8,EFFEW16,EFFEW32,EFFEW64,cp_asm_count,cp_vd,cp_rd,cp_vs2,cp_rs2,cp_vs1,cp_rs1,cp_imm_5bit,cp_vs3,cmp_vd_vs2,cmp_vd_vs1,cmp_vs1_vs2,cmp_vd_vs1_vs2,cp_vs2_edges,cp_vd_edges,cp_vs1_edges,cr_vs2_vs1_edges,cr_vs2_vd_edges,cr_vxrm_vs2_vs1_edges,cp_rs1_edges,cr_vs2_rs1_edges,cr_vxrm_vs2_rs1_edges,cr_vs2_imm_edges,cr_vxrm_vs2_imm_edges,cp_masking_edges,cr_vl_lmul,cr_vtype_agnostic,cp_vl_0,cp_custom
vaesef.vv,VV,x,x,,,x,,x,egs4,,egs4,,,,,,egs4,,,,egs4,egs4_subbytes,,,egs4_subbytes,,,,,,,,egs4,egs4,,
vaesef.vs,VV,x,x,,,x,,x,egs4,,egs4,,,,,,,,,,egs4s,egs4_subbytes,,,egs4s_subbytes,,,,,,,,egs4s,egs4s,,
vaesem.vv,VV,x,x,,,x,,x,egs4,,egs4,,,,,,egs4,,,,egs4,egs4_subbytes,,,egs4_subbytes,,,,,,,,egs4,egs4,,
vaesem.vs,VV,x,x,,,x,,x,egs4,,egs4,,,,,,,,,,egs4s,egs4_subbytes,,,egs4s_subbytes,,,,,,,,egs4s,egs4s,,
vaesdf.vv,VV,x,x,,,x,,x,egs4,,egs4,,,,,,egs4,,,,egs4,egs4_subbytes,,,egs4_subbytes,,,,,,,,egs4,egs4,,
vaesdf.vs,VV,x,x,,,x,,x,egs4,,egs4,,,,,,,,,,egs4s,egs4_subbytes,,,egs4s_subbytes,,,,,,,,egs4s,egs4s,,
vaesdm.vv,VV,x,x,,,x,,x,egs4,,egs4,,,,,,egs4,,,,egs4,egs4_subbytes,,,egs4_subbytes,,,,,,,,egs4,egs4,,
vaesdm.vs,VV,x,x,,,x,,x,egs4,,egs4,,,,,,,,,,egs4s,egs4_subbytes,,,egs4s_subbytes,,,,,,,,egs4s,egs4s,,
vaeskf1.vi,VVI,x,x,,,x,,x,egs4,,egs4,,,,egs4,,egs4,,,,egs4_subbytes,,,,,,,,,,,,egs4,egs4,x,
vaeskf2.vi,VVI,x,x,,,x,,x,egs4,,egs4,,,,egs4,,egs4,,,,egs4_subbytes,egs4,,,egs4_subbytes_vs2,,,,,,,,egs4,egs4,x,
vaesz.vs,VV,x,x,,,x,,x,egs4,,egs4,,,,,,,,,,egs4s,egs4,,,egs4s_vs2,,,,,,,,egs4s,egs4s,,
