"Sr No
(link to coverage)",Test written,Feature (coverpoint written),Goal,Feature Description,Expectation,Bins,"Pass/Fail Criteria
(checker)",Functional Coverage ,Feature covered,Notes,Spec,,,
cp_vcsrrswc,yes,,"Confirm that all vector CSR properties are properly set with regards to read write, clear, and set privileges with the csr instructions","With each of the vector CSRs conduct a read, write, clear, and set operation on the CSR",Will abide by spec's read and write permissions for each csr,3 csr instructions * 7 CSRs,,,,,"The vector extension adds 32 vector registers, and seven unprivileged CSRs (vstart, vxsat, vxrm, vcsr, vtype, vl, vlenb) to a base scalar RISC-V ISA.",read-only CSR vlenb,"The XLEN-bit-wide read-only vl CSR can only be updated by the vset{i}vl{i} instructions, and the fault-only-first vector load instruction variants.","read-only XLEN-wide vector type CSR, vtype provides the default type used to interpret the contents of the vector register file, and can only be updated by vset{i}vl{i}"
cp_vcsrs_walking1s,yes,,Confirm that that all writable vector CSRs have the correct bits writeable,"With each of the vector CSRs that are writable, write all XLEN 1-hot values to the csr",csrs will be updated based on which bits they support to be writable,4 CSRs * XLEN 1-hot values,,,,,"vstart, vxrm, vxsat, vcsr are all writable",,,
,,,,,,,,,,,,,,
cp_mstatus_vs_set_dirty_arithmetic,yes,,"Confirm that after running an arithmetic vector instruction that mstatus.VS is set to dirty when set to ""clean"" or ""initial""","Run a .vv vector arithmetic instruction with mstatus.VS = {clean, initial}",mstatus.VS is set to dirty,2 mstatus.VS bins,,,,,"When mstatus.VS is set to Initial or Clean, executing any instruction that changes vector state, including the vector CSRs, will change mstatus.VS to Dirty. ",,,
cp_mstatus_vs_set_dirty_csr,yes,,"Confirm that after running a vsetvli instruction that mstatus.VS is set to dirty when set to ""clean"" or ""initial""","Run a vsetvli instruction with mstatus.VS = {clean, initial}",mstatus.VS is set to dirty,2 mstatus.VS bins,,,,,"When mstatus.VS is set to Initial or Clean, executing any instruction that changes vector state, including the vector CSRs, will change mstatus.VS to Dirty. ",,,
,,Untestable,,"Analogous to the way in which the floating-point unit is handled, the mstatus.VS field may exist even if misa.V is clear.",,,,,,,,,,
cp_mstatus_vs_off_arithmetic,"yes, confirm sig",,"Confirm that when when misa.V is 1 and mstatus.VS is off, an arithmetic vector instruction raises an illegal instruction exception",Set misa.V to 1 and mstatus.VS = {00} and run a .vv vector instruction,illegal instruction exception,1,,,,,"Attempts to execute any vector instruction, or to access the vector CSRs, raise an illegal-instruction exception when mstatus.VS is set to Off.",,,
cp_mstatus_vs_off_csr,"yes, confirm sig",,"Confirm that when when misa.V is 1 and mstatus.VS is off, an csr vector instruction raises an illegal instruction exception",Set misa.V to 1 and mstatus.VS = {00} and run a vsetvli,illegal instruction exception,1,,,,,"Attempts to execute any vector instruction, or to access the vector CSRs, raise an illegal-instruction exception when mstatus.VS is set to Off.",,,
,,,,,,,,,,,,,,
cp_misa_v_clear_set,yes,,Attempt to write the misa.V field in the misa csr to Confirm correct behavior,Conduct a CSR clear to the misa.V field,Modified or trap depending on implementation,1,,,,,"Implementations may have a writable misa.V field. Analogous to the way in which the floating-point unit is handled, the mstatus.VS field may exist even if misa.V is clear.",,,
,,Untestable,,"For implementations with a writable misa.V field, the vsstatus.VS field may exist even if misa.V is clear.",,,,,,,,,,
