coverpoint_name,instructions,norm_rule_1,norm_rule_2,norm_rule_3,norm_rule_4,norm_rule_5,norm_rule_6,norm_rule_7,norm_rule_8,norm_rule_9,norm_rule_10,norm_rule_11,norm_rule_12,norm_rule_13,norm_rule_14,norm_rule_15,norm_rule_16,norm_rule_17,norm_rule_18,norm_rule_19,norm_rule_20,norm_rule_21,norm_rule_22,norm_rule_23,norm_rule_24,norm_rule_25,norm_rule_26,norm_rule_27,norm_rule_28,norm_rule_29,norm_rule_30,norm_rule_31,norm_rule_32,norm_rule_33
cp_vd,"vfadd.vv, vfadd.vf, ... +70 more (x); vfwadd.vv, vfwadd.vf, ... +25 more (emul2); vfmerge.vfm (nv0)",vreg_count,vwop_vd_eew_emul,vreg_vmask_rsv,vreg_offgroup_LMUL2_rsv,vreg_offgroup_LMUL4_rsv,vreg_offgroup_LMUL8_rsv,EMUL_offgroup_rsv,,,,,,,,,,,,,,,,,,,,,,,,,,
cp_fd,vfmv.f.s (x),vfmv-f-s_op,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cp_vs2,"vfadd.vv, vfadd.vf, ... +84 more (x); vfwadd.wv, vfwadd.wf, ... +10 more (emul2); vfmerge.vfm (nv0)",vreg_count,vop-vv_vreg_vs2_vs1,vop-vx_vreg_vs2,vop-vi_vreg_vs2,vreg_offgroup_LMUL2_rsv,EMUL_offgroup_rsv,EMUL,EEW,EMUL_SEW_LMUL_dep,vnop_vs2_eew_emul,vmerge_op,vfmerge_op,V_masked,,,,,,,,,,,,,,,,,,,,
cp_vs1,"vfadd.vv, vfwadd.vv, ... +32 more (x); vfwredosum.vs, vfwredusum.vs (emul2)",vreg_count,vop-vv_vreg_vs2_vs1,vnop_vs1_eew_emul,vreduction_scalar,vreg_scalar_lmul_indp,vreg_scalar_EMUL,,,,,,,,,,,,,,,,,,,,,,,,,,,
cp_fs1,"vfadd.vf, vfwadd.vf, ... +37 more (x)",vfop_freg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmp_vd_vs2,"vfadd.vv, vfadd.vf, ... +49 more (x); vfwadd.wv, vfwadd.wf, ... +2 more (emul2); vfmerge.vfm (nv0)",vreg_overlap_legal,vreg_overlap_rsv,vreg_vmask_rsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmp_vd_vs1,"vfadd.vv, vfsub.vv, ... +19 more (x); vfwredosum.vs, vfwredusum.vs (emul2)",vreg_overlap_legal,vreg_overlap_agn,vreduction_vd_overlap_vs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmp_vs1_vs2,"vfadd.vv, vfwadd.vv, ... +30 more (x)",vop-vv_vreg_vs2_vs1,vreg_overlap_legal,vreg_count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmp_vd_vs1_vs2,"vfadd.vv, vfsub.vv, ... +19 more (x)",vreg_overlap_legal,vop-vv_vreg_vs2_vs1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cp_vs2_edges,"vfadd.vv, vfadd.vf, ... +85 more (f); vfwadd.wv, vfwadd.wf, ... +10 more (f_emul2)",vop-vv_vreg_vs2_vs1,vop-vx_vreg_vs2,EEW,EMUL,fflags_op_V_fp,vfwadd_op,vector_active_element,V_fp_eew_rsv,,,,,,,,,,,,,,,,,,,,,,,,,
cp_vs1_edges,"vfadd.vv, vfwadd.vv, ... +32 more (f); vfwredosum.vs, vfwredusum.vs (f_emul2)",vop-vv_vreg_vs2_vs1,vreduction_scalar,vfredosum_op,vfredusum_op,vfredmin_op,vfredmax_op,vfwredosum_op,vfwredusum_op,fflags_op_V_fp,V_fp_frm,EEW,EMUL,vwop_vd_eew_emul,V_fp_eew_rsv,,,,,,,,,,,,,,,,,,,
cr_vs2_vs1_edges,"vfadd.vv, vfwadd.vv, ... +30 more (f); vfwadd.wv, vfwsub.wv (fwv); vfwredosum.vs, vfwredusum.vs (fwred)",vop-vv_vreg_vs2_vs1,vreg_count,vreg_overlap_legal,vreg_overlap_rsv,vreg_overlap_agn,EMUL_offgroup_rsv,vreg_offgroup_LMUL2_rsv,vreg_offgroup_LMUL4_rsv,vreg_offgroup_LMUL8_rsv,vreg_vmask_rsv,vwop_vd_eew_emul,vreduction_scalar,vreduction_vd_overlap_vs,,,,,,,,,,,,,,,,,,,,
