coverpoint_name,instructions,norm_rule_1,norm_rule_2,norm_rule_3,norm_rule_4,norm_rule_5,norm_rule_6,norm_rule_7,norm_rule_8,norm_rule_9,norm_rule_10,norm_rule_11,norm_rule_12,norm_rule_13,norm_rule_14,norm_rule_15,norm_rule_16,norm_rule_17,norm_rule_18,norm_rule_19,norm_rule_20
cp_rd,"vcpop.m, vfirst.m, vmv.x.s (x)",vmv-x-s_op,vcpop_op,vfirst_op,,,,,,,,,,,,,,,,,
cp_vd,"vadd.vv, vadd.vx, ... +166 more (x); vwadd.vv, vwadd.vx, ... +30 more (emul2); vadc.vvm, vadc.vxm, ... +6 more (nv0); vmv4r.v (emul4); vmv8r.v (emul8)",vreg_count,vreg_offgroup_LMUL2_rsv,vreg_offgroup_LMUL4_rsv,vreg_offgroup_LMUL8_rsv,EMUL_offgroup_rsv,vadc_vd_v0_rsv,vsbc_vd_v0_rsv,vwop_vd_eew_emul,vmv-nr-r_vreg_constr,vmv-nr-r_unaligned_rsv,,,,,,,,,,
cp_vs2,"vadd.vv, vadd.vx, ... +170 more (x); vwadd.wv, vwadd.wx, ... +19 more (emul2); vadc.vvm, vadc.vxm, ... +11 more (nv0); vmv4r.v (emul4); vmv8r.v (emul8)",,,,,,,,,,,,,,,,,,,,
cp_vs1,"vadd.vv, vwadd.vv, ... +79 more (x); vadc.vvm, vsbc.vvm, ... +3 more (nv0); vwredsum.vs, vwredsumu.vs (emul2)",vreg_count,vop-vv_vreg_vs2_vs1,vnop_vs1_eew_emul,vreg_scalar_EMUL,EMUL_offgroup_rsv,vmerge_op,vadc_carry_v0,vsbc_carry_v0,vmadc_carry_v0,vmsbc_carry_v0,vreduction_vd_overlap_vs,,,,,,,,,
cp_rs1,"vadd.vx, vwadd.vx, ... +75 more (x)",vop-vx_xreg_rs1,vector_ls_base,,,,,,,,,,,,,,,,,,
cp_imm_5bit,"vadd.vi, vrsub.vi, ... +16 more (x); vsll.vi, vsrl.vi, ... +10 more (u)",vop-vi_imm_5bit,vsll_shamt,vsrl_shamt,vsra_shamt,vnsrl_shamt,vnsra_shamt,vssrl_shamt,vssra_shamt,vnclipu_shamt,vnclip_shamt,,,,,,,,,,
cmp_vd_vs2,"vadd.vv, vadd.vx, ... +101 more (x); vwadd.wv, vwadd.wx, ... +7 more (emul2); vadc.vvm, vadc.vxm, ... +6 more (nv0); vmv4r.v (emul4); vmv8r.v (emul8)",vreg_overlap_legal,vreg_overlap_agn,vmask_vd_overlap_vs,vreduction_vd_overlap_vs,,,,,,,,,,,,,,,,
cmp_vd_vs1,"vadd.vv, vsub.vv, ... +54 more (x); vadc.vvm, vsbc.vvm, vmerge.vvm (nv0); vwredsum.vs, vwredsumu.vs (emul2)",vreg_overlap_legal,vreg_overlap_rsv,vreg_overlap_agn,vadc_vd_v0_rsv,vsbc_vd_v0_rsv,vreg_vmask_rsv,vreduction_vd_overlap_vs,vreduction_scalar,vreg_scalar_EMUL,,,,,,,,,,,
cmp_vs1_vs2,"vadd.vv, vwadd.vv, ... +69 more (x); vadc.vvm, vsbc.vvm, ... +3 more (nv0)",vop-vv_vreg_vs2_vs1,vreg_overlap_legal,vreg_source_EEW_rsv,vreg_vmask_rsv,,,,,,,,,,,,,,,,
cmp_vd_vs1_vs2,"vadd.vv, vsub.vv, ... +49 more (x); vadc.vvm, vsbc.vvm, vmerge.vvm (nv0)",vreg_overlap_legal,vreg_overlap_rsv,vop-vv_vreg_vs2_vs1,vadc_vd_v0_rsv,vsbc_vd_v0_rsv,vreg_vmask_rsv,vreg_count,,,,,,,,,,,,,
cp_vs2_edges,"vadd.vv, vadd.vx, ... +162 more (x); vwadd.wv, vwadd.wx, ... +18 more (emul2); vzext.vf2, vsext.vf2 (emulf2); vzext.vf4, vsext.vf4 (emulf4); vzext.vf8, vsext.vf8 (emulf8); vmand.mm, vmnand.mm, ... +12 more (eew1)",vop-vv_vreg_vs2_vs1,vop-vx_vreg_vs2,vop-vi_vreg_vs2,EEW,EMUL,EMUL_SEW_LMUL_dep,vnop_vs2_eew_emul,vsext_vs_eew_emul,vzext_vs_eew_emul,vmask_maskreg,vtype-vsew_op,V_supported_eew,,,,,,,,
cp_vs1_edges,"vadd.vv, vwadd.vv, ... +76 more (x); vwredsum.vs, vwredsumu.vs (emul2); vmand.mm, vmnand.mm, ... +6 more (eew1)",vtype-vsew_op,EEW,EMUL,EMUL_SEW_LMUL_dep,EEW_SEW_LMUL_dep,vop-vv_vreg_vs2_vs1,vmask_maskreg,vreg_mask_LMUL_indp,vreduction_scalar,vreg_scalar_EMUL,vreg_scalar_lmul_indp,vnop_vs1_eew_emul,vwop_vd_eew_emul,,,,,,,
cr_vs2_vs1_edges,"vadd.vv, vwadd.vv, ... +67 more (x); vwadd.wv, vwaddu.wv, ... +6 more (wv); vwredsum.vs, vwredsumu.vs (wred); vmand.mm, vmnand.mm, ... +6 more (mm)",vop-vv_vreg_vs2_vs1,EEW,EMUL,EMUL_SEW_LMUL_dep,vwop_vd_eew_emul,vmask_maskreg,instrgrp_vmask_disregard_vlmul,vreg_scalar_EMUL,vreduction_scalar,,,,,,,,,,,
cp_rs1_edges,"vadd.vx, vwadd.vx, ... +75 more (x)",vop-vx_xreg_rs1,vop-vx_rs1_trunc_lsb_sewbits,vop-vx_rs1_sext_sewbits,,,,,,,,,,,,,,,,,
cr_vs2_rs1_edges,"vadd.vx, vwadd.vx, ... +65 more (x); vwadd.wx, vwaddu.wx, ... +6 more (wx)",vop-vx_vreg_vs2,vop-vx_xreg_rs1,vop-vx_rs1_trunc_lsb_sewbits,vop-vx_rs1_sext_sewbits,vwop_vd_eew_emul,,,,,,,,,,,,,,,
