rule_name,spec_text,cp_name_1,coverage_desc_1,cp_name_2,coverage_desc_2,cp_name_3,coverage_desc_3,cp_name_4,coverage_desc_4,cp_name_5,coverage_desc_5,cp_name_6,coverage_desc_6,cp_name_7,coverage_desc_7,cp_name_8,coverage_desc_8,cp_name_9,coverage_desc_9,cp_name_10,coverage_desc_10,cp_name_11,coverage_desc_11,cp_name_12,coverage_desc_12,cp_name_13,coverage_desc_13,cp_name_14,coverage_desc_14,cp_name_15,coverage_desc_15,cp_name_16,coverage_desc_16,cp_name_17,coverage_desc_17,cp_name_18,coverage_desc_18,cp_name_19,coverage_desc_19,cp_name_20,coverage_desc_20,cp_name_21,coverage_desc_21,cp_name_22,coverage_desc_22,cp_name_23,coverage_desc_23,coverage_status,explanation,gaps,cp_name_24,coverage_desc_24,cp_name_25,coverage_desc_25,cp_name_26,coverage_desc_26,cp_name_27,coverage_desc_27,cp_name_28,coverage_desc_28,cp_name_29,coverage_desc_29,cp_name_30,coverage_desc_30,cp_name_31,coverage_desc_31,cp_name_32,coverage_desc_32,cp_name_33,coverage_desc_33,cp_name_34,coverage_desc_34,cp_name_35,coverage_desc_35,cp_name_36,coverage_desc_36
ELEN,"The maximum size in bits of a vector element that any operation can produce or consume, ELEN {ge} 8, which must be a power of 2.",cp_ssstrictv_widening_vd_sew_eq_elen,"Coverpoint tests the ELEN boundary by setting SEW=ELEN and executing widening instructions, which would require EEW=2*ELEN exceeding the maximum element width",cp_ssstrictv_narrowing_vs2_sew_eq_elen,"Coverpoint directly tests the ELEN boundary by setting SEW=ELEN for narrowing instructions, which requires source EEW=2*ELEN exceeding the maximum supported element width",cp_ssstrictv_widen_max_sew,Coverpoint directly exercises the ELEN boundary by setting SEW=ELEN and verifying that widening operations producing EEW=2*SEW exceeding ELEN are treated as reserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,"The coverpoints focus on testing the ELEN boundary through widening and narrowing operations that would exceed ELEN, which tests the upper-bound constraint well. However, the normative rule also specifies that ELEN >= 8 and must be a power of 2. These structural constraints on the ELEN value itself are not tested by any coverpoint.",No coverpoint verifies that ELEN >= 8 (minimum value constraint); No coverpoint verifies that ELEN is a power of 2,,,,,,,,,,,,,,,,,,,,,,,,,,
VLEN,"The number of bits in a single vector register, VLEN {ge} ELEN, which must be a power of 2, and must be no greater than 2^16^.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,Architectural definition: VLEN is a fixed architectural parameter; its value is tested implicitly by every vector instruction,Not directly testable - defines a concept or dependency rather than observable behavior,,,,,,,,,,,,,,,,,,,,,,,,,,
VILL_IMPLICIT_ENCODING,"A small implementation supporting ELEN=32 requires only seven bits of state in vtype: two bits for ma and ta, two bits for vsew[1:0] and three bits for vlmul[2:0].  The illegal value represented by vill can be internally encoded using the illegal 64-bit combination in vsew[1:0] without requiring an additional storage bit to hold vill.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,Architectural definition: Describes internal encoding optimization; not externally observable behavior,Not directly testable - defines a concept or dependency rather than observable behavior,,,,,,,,,,,,,,,,,,,,,,,,,,
HW_MSTATUS_VS_DIRTY_UPDATE,"Implementations may also change mstatus.VS or vsstatus.VS from Initial or Clean to Dirty at any time, even when there is no change in vector state.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,Implementation-defined: Implementation MAY update VS to Dirty at any time; not testable as a requirement,Permissive rule (implementation MAY do X); not a mandatory requirement to test,,,,,,,,,,,,,,,,,,,,,,,,,,
RESERVED_VILL_SET,Implementations may set vill in either case.,cp_ssstrictv_widening_vd_sew_eq_elen,"When the widening operation requires unsupported EEW=2*ELEN, the encoding is reserved and implementations may set vill, which this coverpoint verifies leads to a trap",cp_ssstrictv_vzext_src_reserved,"Reserved encodings from unsupported source EEW/EMUL may cause implementations to set vill, which this coverpoint exercises by triggering traps on such configurations",cp_ssstrictv_vmvnr_off_group,"When Ssstrictv causes a trap on these reserved off-group encodings, it partially covers the implementation choice of how reserved encodings are handled",cp_ssstrictv_vzext_vf2_reserved,"The reserved encoding from unsupported source EEW/EMUL may cause implementations to set vill, which this coverpoint exercises",cp_ssstrictv_vzext_vf4_reserved,"The reserved encodings tested may cause implementations to set vill, which this coverpoint partially exercises by expecting a trap",cp_ssstrictv_vzext_vf8_reserved,"When the reserved encoding is detected, implementations may set vill, which this coverpoint verifies by expecting a trap",cp_ssstrictv_vsext_src_reserved,"When source EEW or EMUL is out of range, implementations may set vill, which this coverpoint exercises by expecting a trap",cp_ssstrictv_vlmul_100_reserved,"Verifies the implementation sets vill when encountering the reserved vlmul=100 encoding, directly testing the permitted behavior described by this rule.",cp_vtype_walking1s,Walking 1s into reserved bit positions tests that the implementation may set vill for reserved encodings.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"The normative rule states that implementations may set vill when encountering reserved encodings. The coverpoints collectively test vill-setting behavior across multiple reserved encoding scenarios: reserved vlmul encodings (cp_ssstrictv_vlmul_100_reserved), reserved vtype bit positions (cp_vtype_walking1s), reserved source EEW/EMUL for zero/sign extension operations (cp_ssstrictv_vzext_src_reserved, cp_ssstrictv_vsext_src_reserved, and the vf2/vf4/vf8 variants), reserved widening EEW=2*ELEN (cp_ssstrictv_widening_vd_sew_eq_elen), and reserved off-group encodings (cp_ssstrictv_vmvnr_off_group). The rule is a permissive statement ('may set vill') rather than a mandatory requirement, and the coverpoints verify this permitted behavior across a comprehensive range of reserved encoding categories.",,,,,,,,,,,,,,,,,,,,,,,,,,,
vreg_count,"The vector extension adds 32 architectural vector registers, v0-v31 to the base scalar RISC-V ISA.",cp_custom_fmv_fs_vs2_all_lmul,"Coverpoint iterates over all 32 vs2 register values (v0-v31), partially covering the existence of all 32 architectural vector registers.",cp_ssstrictv_ls_seg_vd_overflow_emulgt1,"Tests the boundary condition that vector registers only span v0-v31, verifying trap when segment addressing would exceed this range",cp_vd,"cp_vd exercises all 32 vector destination registers vd=0-31, directly verifying the 32 architectural vector registers v0-v31 exist and are addressable as destinations.",cp_vs1,"cp_vs1 exercises all 32 vector registers v0-v31 as the vs1 source operand, directly covering the architectural register count.",cmp_vd_vs1_vs2,"Testing vd=vs1=vs2 across the full range of vector registers (v0-v31, or v1-v31 for nv0 variant) exercises the architectural vector register space.",cp_vs3,"cp_vs3 exercises all 32 vector registers (vs3=0-31) as store data sources, directly verifying the 32 architectural vector registers v0-v31.",cmp_vs3_vs2,The lte30 through lte24 variants constrain register selection to stay within the 32 architectural vector registers (v0-v31) when multiple segment fields occupy successive register groups.,cp_vs2,"cp_vs2 exercises all 32 vector registers v0-v31 as the vs2 source operand, directly covering the existence and accessibility of the 32 architectural vector registers.",cmp_vs1_vs2,"cmp_vs1_vs2 iterates over all 32 vector registers (v0-v31) as possible values for the shared vs1/vs2 register, exercising the full architectural vector register file.",cr_vs2_vs1_edges,"cr_vs2_vs1_edges uses edge register numbers (e.g., v0, v1, v8, v16, v24, v30, v31) for both vs2 and vs1, exercising the boundaries of the 32 architectural vector registers.",,,,,,,,,,,,,,,,,,,,,,,,,,,full,"The normative rule states that the vector extension adds 32 architectural vector registers v0-v31. The coverpoints collectively verify this by: cp_vd exercises all 32 registers as destinations (v0-v31), cp_vs1 exercises all 32 as vs1 source, cp_vs2 exercises all 32 as vs2 source, cp_vs3 exercises all 32 as store data sources, cmp_vd_vs1_vs2 tests shared register usage across the full range, cmp_vs1_vs2 iterates all 32 registers, cr_vs2_vs1_edges tests boundary registers (v0, v31, etc.), cp_ssstrictv_ls_seg_vd_overflow_emulgt1 verifies the upper boundary by testing traps when exceeding v31, and cp_custom_fmv_fs_vs2_all_lmul covers all 32 vs2 values. Together these coverpoints verify all 32 registers exist and are addressable in every operand position (destination, source1, source2, store data).",,,,,,,,,,,,,,,,,,,,,,,,,,,
mstatus-vs_op,"A vector context status field, VS, is added to mstatus[10:9] and shadowed in sstatus[10:9].  It is defined analogously to the floating-point context status field, FS.",cp_mstatus_vs_off / cp_vsstatus_vs_off,Coverpoint exercises the mstatus.VS field across all 4 states (Off/Initial/Clean/Dirty) with vector arithmetic instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,"The coverpoints test mstatus.VS across all 4 states with vector arithmetic instructions, and there is a vsstatus variant. However, the normative rule specifies that VS is 'shadowed in sstatus[10:9]', meaning the sstatus.VS field must also be tested to confirm it mirrors mstatus.VS. Additionally, the rule states VS is 'defined analogously to the floating-point context status field, FS', which implies behavioral parity with FS (e.g., state transitions: Off causes illegal-instruction traps, Clean transitions to Dirty on vector writes, Initial behavior). The coverpoints exercise the 4 states but may not verify the shadowing relationship between mstatus and sstatus, nor the analogous FS-like transition semantics.","sstatus[10:9] shadowing of mstatus.VS is not explicitly verified (reading sstatus.VS after setting mstatus.VS and vice versa); FS-analogous state transition behavior not covered (Off causing illegal-instruction trap on vector access, Clean->Dirty transition on vector state modification, Initial->Dirty transition)",,,,,,,,,,,,,,,,,,,,,,,,,,
mstatus-vs_op_initial_clean,"When mstatus.VS is set to Initial or Clean, executing any instruction that changes vector state, including the vector CSRs, will change mstatus.VS to Dirty. Implementations may also change mstatus.VS from Initial or Clean to Dirty at any time, even when there is no change in vector state.",cp_mstatus_vs_off / cp_vsstatus_vs_off,"Coverpoint cycles through mstatus.VS values 0-3 including Initial and Clean states, partially covering the dirty transition when vector instructions execute with those states",cp_custom_vfp_register_state_mstatus_dirty,"The coverpoint tests an instruction that changes vector state (a vector floating-point move), which should transition mstatus.VS from Initial or Clean to Dirty, partially covering this rule.",cp_custom_vfp_csr_state_mstatus_dirty,"The coverpoint starts with mstatus.VS clear and executes a vector instruction that changes vector state, which should transition mstatus.VS to Dirty per this rule.",cp_mstatus_vs_set_dirty_arithmetic,"SmV cp_mstatus_vs_set_dirty_arithmetic runs a vector arithmetic instruction with mstatus.VS={initial,clean} and verifies transition to Dirty.",cp_mstatus_vs_set_dirty_csr,"SmV cp_mstatus_vs_set_dirty_csr runs vsetvli with mstatus.VS={initial,clean} and verifies transition to Dirty, covering the CSR-changing variant.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,"The coverpoints test dirty transitions when vector instructions execute (covering register changes via cp_custom_vfp_register_state_mstatus_dirty and CSR changes via cp_custom_vfp_csr_state_mstatus_dirty), and cp_mstatus_vs_off cycles through VS states. However, there are gaps in systematically testing both Initial and Clean starting states separately for both register-changing and CSR-changing vector instructions. Additional coverage from SmV/SmVF coverpoints strengthens the partial assessment.",No coverpoint explicitly tests mstatus.VS transitioning from Initial to Dirty when a vector CSR-changing instruction executes (cp_custom_vfp_csr_state_mstatus_dirty only starts with VS clear/off); No coverpoint explicitly tests mstatus.VS transitioning from Clean to Dirty separately for both vector register state changes and vector CSR changes; The distinction between Initial vs Clean as starting states is not systematically covered across all vector state change types (register vs CSR),,,,,,,,,,,,,,,,,,,,,,,,,,
vsstatus-vs_mstatus-vs_op_off,"When V=1, both vsstatus.VS and mstatus.VS are in effect: attempts to execute any vector instruction, or to access the vector CSRs, raise an illegal-instruction exception when either field is set to Off.",cp_mstatus_vs_off / cp_vsstatus_vs_off,"Tests that when V=1, attempts to execute vector instructions raise illegal-instruction exception when either vsstatus.VS or mstatus.VS is Off",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,"The coverpoints test vector instruction execution raising illegal-instruction exception when vsstatus.VS or mstatus.VS is Off while V=1. However, the normative rule also specifies that attempts to ACCESS VECTOR CSRs should raise an illegal-instruction exception when either field is Off, which is not explicitly covered by the listed coverpoints.","No coverpoint for accessing vector CSRs (e.g., vstart, vl, vtype, vlenb) raising illegal-instruction exception when vsstatus.VS or mstatus.VS is Off while V=1",,,,,,,,,,,,,,,,,,,,,,,,,,
vsstatus-vs_sz,"When the hypervisor extension is present, a vector context status field, VS, is added to vsstatus[10:9]. It is defined analogously to the floating-point context status field, FS.",cp_mstatus_vs_off / cp_vsstatus_vs_off,"Exercises the vsstatus.VS field across all 4 states with vector instructions, implicitly verifying the field exists and is functional",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,"The coverpoints exercise vsstatus.VS across all 4 states with vector instructions, verifying the field exists and is functional. However, the normative rule specifically states this field is added 'when the hypervisor extension is present' and is 'defined analogously to the floating-point context status field, FS'. The coverpoints do not explicitly verify the conditional presence (hypervisor extension dependency) or the analogous behavior to FS.","No verification that vsstatus.VS field exists only when hypervisor extension (H) is present; No verification that vsstatus.VS behaves analogously to FS (e.g., same state transition semantics: Initial->Clean->Dirty)",,,,,,,,,,,,,,,,,,,,,,,,,,
